City,Area,Name,data_time,Average Value Apparent Power,Average Value Reactive Power,Average value Active Power,B-Phase Active Power,B-Phase Apparent Power,B-Phase Average Current,B-Phase Current,B-Phase Maximum Current,B-Phase Power Factor,B-Phase Reactive Power,B-Phase Voltage,Door Status,Energy,Error Type,Frequency,Humidity,Light Status,Maximum Value Active Power,Maximum Value Apparent Power,Maximum Value Reactive Power,Packet type,Power Status,R-Phase Active Power,R-Phase Apparent Power,R-Phase Average Current,R-Phase Current,R-Phase Maximum Current,R-Phase Power Factor,R-Phase Reactive Power,R-Phase Voltage,Run Hour,System Power Factor,Temperature,Total Active power,Total Apparent Power,Total Reactive Power,Total current,Y-Phase Active Power,Y-Phase Apparent Power,Y-Phase Average Current,Y-Phase Current,Y-Phase Maximum Current,Y-Phase Power Factor,Y-Phase Reactive Power,Y-Phase Voltage
Delhi,Mayur Vihar,SLPSP 12,2024-11-30 18:35:55+00,2.2,0.5,1.3,12.4,14.8,6.1,61.8,8.6,0.84,7.9,239.9,NULL,4884.2,NULL,49.99,0,NULL,1.6,3.1,1.1,1,NULL,0.6,3,1.1,12.6,1.2,0.2,2.9,240.3,417.14,0.63,0,13.2,23,5.7,96,0.1,5.1,2.1,21.4,3.2,-0.03,6548.5,240.4
Delhi,Mayur Vihar,SLPSP 12,2024-11-30 18:50:55+00,2.2,0.5,1.2,12.5,14.8,6.1,61.8,8.6,0.84,7.9,240.2,NULL,4887.7,NULL,49.99,0,NULL,1.6,3.1,1.1,1,NULL,0.3,2.9,1.1,12.3,1.2,0.1,2.9,240.4,417.29,0.63,0,13.1,23,5.7,95,0.1,5.1,2.1,21.4,3.2,-0.03,6548.5,240.5
Delhi,Mayur Vihar,SLPSP 12,2024-11-30 19:05:55+00,2.2,0.5,1.2,12.4,14.7,6.1,61.6,8.6,0.84,7.9,240,NULL,4890.9,NULL,50.03,0,NULL,1.6,3.1,1.1,1,NULL,0.5,3,1.1,12.6,1.2,0.19,2.9,239.6,417.44,0.63,0,13.2,22.9,5.7,95,0.1,5.1,2.1,21.4,3.2,-0.03,6548.5,240.2
Delhi,Mayur Vihar,SLPSP 12,2024-11-30 19:20:55+00,2.2,0.5,1.2,12.4,14.7,6.1,61.6,8.6,0.84,7.9,239.7,NULL,4894.2,NULL,50.03,0,NULL,1.6,3.1,1.1,1,NULL,0.5,3,1.2,12.6,1.2,0.18,2.9,240.2,417.59,0.63,0,13.1,22.9,5.7,95,0.1,5.1,2.1,21.2,3.2,-0.02,6548.5,240.3
Delhi,Mayur Vihar,SLPSP 12,2024-11-30 19:35:55+00,2.2,0.5,1.2,12.4,14.7,6.1,61.8,8.6,0.84,7.9,239.4,NULL,4897.6,NULL,49.99,0,NULL,1.6,3.1,1.1,1,NULL,0.4,2.9,1.2,12.6,1.2,-0.15,6550.8,239.8,418.14,0.63,0,13,22.8,5.7,95,0.1,5.1,2.1,21.3,3.2,-0.03,6548.5,240
Delhi,Mayur Vihar,SLPSP 12,2024-11-30 19:50:55+00,2.2,0.5,1.3,12.4,14.7,6.1,61.5,8.6,0.84,7.9,239.3,NULL,4900.8,NULL,50.02,0,NULL,1.6,3.1,1.1,1,NULL,0.4,2.9,1.2,12,1.2,-0.15,6550.8,239.7,418.28,0.64,0,12.9,22.3,6,93,0,4.6,1.9,19.6,3.2,-0.01,6549,239.7
Delhi,Mayur Vihar,SLPSP 12,2024-11-30 19:59:42+00,2.2,0.5,1.2,12.4,14.7,6.1,61.5,8.6,0.84,7.9,239.3,NULL,4902.7,NULL,50.04,0,NULL,1.6,3.1,1.1,1,NULL,0.6,3,1.1,12.6,1.2,0.2,2.9,239.8,418.37,0.63,0,13.1,22.8,5.8,95,0.1,5,1.9,21.2,3.2,-0.03,6548.6,240.2
Delhi,Mayur Vihar,SLPSP 12,2024-11-30 20:05:55+00,2.2,0.5,1.2,12.4,14.7,6.1,61.6,8.6,0.84,7.9,239.7,NULL,4904.1,NULL,50.03,0,NULL,1.6,3.1,1.1,1,NULL,0.6,3,1.1,12.6,1.2,0.2,2.9,240.2,418.43,0.63,0,13.2,22.9,5.7,95,0.1,5.1,2.1,21.4,3.2,-0.03,6548.5,240.5
Delhi,Mayur Vihar,SLPSP 12,2024-11-30 20:20:55+00,2.2,0.5,1.3,12.8,15.4,6.1,64.6,8.6,0.83,8.5,239.4,NULL,4907.4,NULL,49.98,0,NULL,1.6,3.1,1.1,1,NULL,0.6,3,1.2,12.7,1.2,0.21,2.9,240.3,418.58,0.63,0,13.6,23.5,6.4,98,0.1,5.1,2.1,21.1,3.2,-0.03,6548.6,240.7
Delhi,Mayur Vihar,SLPSP 12,2024-11-30 20:35:55+00,2.2,0.5,1.3,12.4,14.7,6.1,61.5,8.6,0.84,7.9,239.8,NULL,4910.7,NULL,50.03,0,NULL,1.6,3.1,1.1,1,NULL,0.6,3,1.1,12.7,1.2,0.2,2.9,240.2,419.13,0.63,0,13.2,22.9,5.7,95,0.2,5.1,2.1,21.5,3.2,-0.03,6548.5,240.7
Delhi,Mayur Vihar,SLPSP 12,2024-11-30 20:50:55+00,2.2,0.5,1.2,12.3,14.6,6.1,61.3,8.6,0.84,7.8,238.5,NULL,4914,NULL,50.05,0,NULL,1.6,3.1,1.1,1,NULL,0.5,3,1.1,12.6,1.2,0.2,2.9,239.1,419.28,0.63,0,13,22.7,5.6,95,0.1,5.1,2.1,21.5,3.2,-0.03,6548.5,239.2
Delhi,Mayur Vihar,SLPSP 12,2024-11-30 21:05:55+00,2.2,0.5,1.2,12.7,15.3,6.1,64.3,8.6,0.83,8.4,239.1,NULL,4917.3,NULL,50.05,0,NULL,1.6,3.1,1.1,1,NULL,0.6,3,1.1,12.6,1.2,0.2,2.9,240,419.43,0.63,0,13.5,23.4,6.3,98,0.1,5.1,2.1,21.3,3.2,-0.03,6548.5,239.7
Delhi,Mayur Vihar,SLPSP 12,2024-11-30 21:20:55+00,2.2,0.5,1.2,12.3,14.6,6.1,61.4,8.6,0.84,7.8,238.9,NULL,4920.6,NULL,50.05,0,NULL,1.6,3.1,1.1,1,NULL,0.6,3,1.2,12.6,1.2,0.2,2.9,239.3,419.58,0.63,0,13.1,22.8,5.6,95,0.1,5.1,2.1,21.4,3.2,-0.03,6548.5,239.4
Delhi,Mayur Vihar,SLPSP 12,2024-11-30 21:35:55+00,2.2,0.5,1.2,12.3,14.7,6.1,61.4,8.6,0.84,7.8,238.8,NULL,4923.8,NULL,50.03,0,NULL,1.6,3.1,1.1,1,NULL,0,2.9,1.2,12.6,1.2,-0.17,6550.9,239.6,420.13,0.63,0,13,22.6,5.4,95,0.2,5.1,2.1,21.8,3.2,-0.04,6548.5,239.8
Delhi,Mayur Vihar,SLPSP 12,2024-11-30 21:50:55+00,2.2,0.5,1.3,12.4,14.8,6.1,61.8,8.6,0.83,7.9,239.7,NULL,4927.1,NULL,50.04,0,NULL,1.6,3.1,1.1,1,NULL,0.4,2.8,1.2,12,1.2,-0.15,6550.8,240,420.28,0.63,0,13,22.8,5.6,95,0.1,5.1,2.1,21.5,3.2,-0.03,6548.5,240.1
Delhi,Mayur Vihar,SLPSP 12,2024-11-30 22:05:55+00,2.2,0.5,1.3,12.3,14.6,6.1,61.4,8.6,0.84,7.8,239.2,NULL,4930.4,NULL,50.03,0,NULL,1.6,3.1,1.1,1,NULL,0,3,1.1,12.6,1.2,-0.02,6550.6,240.1,420.43,0.61,0,12.5,22.8,5.7,95,0.1,5.1,2.1,21.6,3.2,-0.03,6548.5,239.7
Delhi,Mayur Vihar,SLPSP 12,2024-11-30 22:20:55+00,2.2,0.5,1.2,12.4,14.7,6.1,61.6,8.6,0.84,7.9,239.6,NULL,4933.7,NULL,50.05,0,NULL,1.6,3.1,1.1,1,NULL,0.6,3,1.2,12.6,1.2,0.2,2.9,240,420.58,0.63,0,13.2,22.9,5.6,95,0.1,5.1,2.1,21.6,3.2,-0.03,6548.5,240.3
Delhi,Mayur Vihar,SLPSP 12,2024-11-30 22:35:55+00,2.2,0.5,1.3,12.4,14.8,6.2,61.6,8.6,0.84,7.9,239.9,NULL,4937,NULL,50.06,0,NULL,1.6,3.1,1.1,1,NULL,0.6,3,1.1,12.7,1.2,0.21,2.9,240.2,421.13,0.63,0,13.2,23,5.7,95,0.1,5.1,2.1,21.4,3.2,-0.03,6548.5,240.5
