datetime,date,weekday,hour,congestion_level_pct,avg_speed_kmh,travel_time_min_per_10km,monthly_congestion_level_pct,is_morning_rush,is_evening_rush
2024-11-30 00:00:00,2024-11-30,Saturday,0,15,35,17.1,54,0,0
2024-11-30 01:00:00,2024-11-30,Saturday,1,9,37,16.2,54,0,0
2024-11-30 02:00:00,2024-11-30,Saturday,2,4,39,15.4,54,0,0
2024-11-30 03:00:00,2024-11-30,Saturday,3,2,40,15.0,54,0,0
2024-11-30 04:00:00,2024-11-30,Saturday,4,7,37,16.2,54,0,0
2024-11-30 05:00:00,2024-11-30,Saturday,5,14,35,17.1,54,0,0
2024-11-30 06:00:00,2024-11-30,Saturday,6,15,35,17.1,54,0,0
2024-11-30 07:00:00,2024-11-30,Saturday,7,20,34,17.6,54,1,0
2024-11-30 08:00:00,2024-11-30,Saturday,8,28,32,18.8,54,1,0
2024-11-30 09:00:00,2024-11-30,Saturday,9,38,29,20.7,54,1,0
2024-11-30 10:00:00,2024-11-30,Saturday,10,49,27,22.2,54,0,0
2024-11-30 11:00:00,2024-11-30,Saturday,11,62,25,24.0,54,0,0
2024-11-30 12:00:00,2024-11-30,Saturday,12,72,23,26.1,54,0,0
2024-11-30 13:00:00,2024-11-30,Saturday,13,76,23,26.1,54,0,0
2024-11-30 14:00:00,2024-11-30,Saturday,14,78,22,27.3,54,0,0
2024-11-30 15:00:00,2024-11-30,Saturday,15,82,22,27.3,54,0,0
2024-11-30 16:00:00,2024-11-30,Saturday,16,85,22,27.3,54,0,0
2024-11-30 17:00:00,2024-11-30,Saturday,17,88,21,28.6,54,0,1
2024-11-30 18:00:00,2024-11-30,Saturday,18,89,21,28.6,54,0,1
2024-11-30 19:00:00,2024-11-30,Saturday,19,84,22,27.3,54,0,1
2024-11-30 20:00:00,2024-11-30,Saturday,20,68,24,25.0,54,0,0
2024-11-30 21:00:00,2024-11-30,Saturday,21,47,27,22.2,54,0,0
2024-11-30 22:00:00,2024-11-30,Saturday,22,35,30,20.0,54,0,0
2024-11-30 23:00:00,2024-11-30,Saturday,23,29,31,19.4,54,0,0
2024-12-01 00:00:00,2024-12-01,Sunday,0,16,35,17.1,62,0,0
2024-12-01 01:00:00,2024-12-01,Sunday,1,9,37,16.2,62,0,0
2024-12-01 02:00:00,2024-12-01,Sunday,2,4,39,15.4,62,0,0
2024-12-01 03:00:00,2024-12-01,Sunday,3,2,39,15.4,62,0,0
2024-12-01 04:00:00,2024-12-01,Sunday,4,4,38,15.8,62,0,0
2024-12-01 05:00:00,2024-12-01,Sunday,5,9,37,16.2,62,0,0
