latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.646748,77.2748,231.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),visibility (m),sunshine_duration (s),relative_humidity_2m (%),rain (mm),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²)
2024-11-30T00:00,16.3,24140.00,0.00,73,0.00,0,0,0,0,0.0,0.0,0.0
2024-11-30T01:00,15.6,24140.00,0.00,76,0.00,0,0,0,0,0.0,0.0,0.0
2024-11-30T02:00,14.9,24140.00,0.00,79,0.00,0,0,0,0,0.0,0.0,0.0
2024-11-30T03:00,14.4,24140.00,0.00,82,0.00,0,0,0,0,0.0,0.0,0.0
2024-11-30T04:00,13.8,24140.00,0.00,85,0.00,0,0,0,0,0.0,0.0,0.0
2024-11-30T05:00,13.4,24140.00,0.00,86,0.00,0,0,0,0,0.0,0.0,0.0
2024-11-30T06:00,12.4,24140.00,0.00,89,0.00,0,0,0,0,0.0,0.0,0.0
2024-11-30T07:00,12.8,24140.00,0.00,86,0.00,0,0,0,0,11.0,2.0,9.0
2024-11-30T08:00,14.6,24140.00,3600.00,77,0.00,0,0,0,0,117.0,55.0,62.0
2024-11-30T09:00,17.5,24140.00,3600.00,65,0.00,0,0,0,0,278.0,176.0,102.0
2024-11-30T10:00,20.4,24140.00,3600.00,54,0.00,0,0,0,0,425.0,300.0,125.0
2024-11-30T11:00,22.5,24140.00,3600.00,45,0.00,0,0,0,0,528.0,391.0,137.0
2024-11-30T12:00,23.9,24140.00,3600.00,39,0.00,0,0,0,0,571.0,429.0,142.0
2024-11-30T13:00,24.5,24140.00,3600.00,36,0.00,0,0,0,0,548.0,409.0,139.0
2024-11-30T14:00,24.7,24140.00,3600.00,35,0.00,0,0,0,0,464.0,336.0,128.0
2024-11-30T15:00,24.5,24140.00,3600.00,36,0.00,0,0,0,0,330.0,220.0,110.0
2024-11-30T16:00,23.6,24140.00,3600.00,41,0.00,0,0,0,0,168.0,91.0,77.0
2024-11-30T17:00,21.9,24140.00,1459.69,49,0.00,0,0,0,0,32.0,10.0,22.0
2024-11-30T18:00,22.0,24140.00,0.00,48,0.00,0,0,0,0,0.0,0.0,0.0
2024-11-30T19:00,21.4,24140.00,0.00,51,0.00,0,0,0,0,0.0,0.0,0.0
2024-11-30T20:00,20.8,24140.00,0.00,53,0.00,0,0,0,0,0.0,0.0,0.0
2024-11-30T21:00,20.0,24140.00,0.00,57,0.00,0,0,0,0,0.0,0.0,0.0
2024-11-30T22:00,19.2,24140.00,0.00,62,0.00,0,0,0,0,0.0,0.0,0.0
2024-11-30T23:00,18.3,24140.00,0.00,67,0.00,0,0,0,0,0.0,0.0,0.0
2024-12-01T00:00,17.6,24140.00,0.00,71,0.00,0,0,0,0,0.0,0.0,0.0
2024-12-01T01:00,16.9,24140.00,0.00,75,0.00,0,0,0,0,0.0,0.0,0.0
2024-12-01T02:00,16.4,24140.00,0.00,77,0.00,0,0,0,0,0.0,0.0,0.0
2024-12-01T03:00,15.8,24140.00,0.00,79,0.00,0,0,0,0,0.0,0.0,0.0
2024-12-01T04:00,15.4,24140.00,0.00,80,0.00,0,0,0,0,0.0,0.0,0.0
2024-12-01T05:00,14.9,24140.00,0.00,82,0.00,0,0,0,0,0.0,0.0,0.0
2024-12-01T06:00,13.9,24140.00,0.00,86,0.00,0,0,0,0,0.0,0.0,0.0
2024-12-01T07:00,14.2,24140.00,0.00,84,0.00,0,0,0,0,10.0,2.0,8.0
2024-12-01T08:00,15.9,24140.00,3600.00,75,0.00,0,0,0,0,113.0,51.0,62.0
2024-12-01T09:00,18.0,24140.00,3600.00,65,0.00,0,0,0,0,271.0,168.0,103.0
2024-12-01T10:00,20.2,24140.00,3600.00,56,0.00,0,0,0,0,416.0,290.0,126.0
2024-12-01T11:00,22.2,24140.00,3600.00,47,0.00,0,0,0,0,519.0,380.0,139.0
2024-12-01T12:00,23.8,24140.00,3600.00,40,0.00,0,0,0,0,563.0,420.0,143.0
2024-12-01T13:00,24.7,24140.00,3600.00,36,0.00,0,0,0,0,543.0,404.0,139.0
2024-12-01T14:00,25.0,24140.00,3600.00,36,0.00,0,0,0,0,462.0,333.0,129.0
2024-12-01T15:00,24.8,24140.00,3600.00,38,0.00,0,0,0,0,328.0,219.0,109.0
2024-12-01T16:00,24.0,24140.00,3600.00,42,0.00,0,0,0,0,167.0,90.0,77.0
2024-12-01T17:00,22.5,24140.00,1464.84,47,0.00,0,0,0,0,32.0,10.0,22.0
2024-12-01T18:00,22.4,24140.00,0.00,49,0.00,0,0,0,0,0.0,0.0,0.0
2024-12-01T19:00,21.5,24140.00,0.00,52,0.00,0,0,0,0,0.0,0.0,0.0
2024-12-01T20:00,20.8,24140.00,0.00,56,0.00,0,0,0,0,0.0,0.0,0.0
2024-12-01T21:00,19.8,24140.00,0.00,61,0.00,0,0,0,0,0.0,0.0,0.0
2024-12-01T22:00,18.8,24140.00,0.00,65,0.00,0,0,0,0,0.0,0.0,0.0
